Councillor,Expected,Present as Expected,In Attendance
Cllr Silvia Collins (Independent),0,0,10
Cllr John Baker (Independent Group),0,0,6
Cllr Raymond Berry (Conservative Group),7,1,0
Cllr Michael Blair (Conservative Group),0,0,0
Cllr Ian Bond (Conservative Group),0,0,2
Cllr David Bowater (Conservative Group),18,15,0
Cllr Anthony Brown (Conservative Group),0,0,0
Cllr Neil Bunyan (Conservative Group),2,2,1
Cllr John Chatterley (Conservative Group),0,0,4
Cllr Sue Clark (Conservative Group),0,0,15
Cllr Kevin Collins (Conservative Group),0,0,2
Cllr Philip Crawley (Conservative Group),0,0,0
Cllr Ian Dalgarno (Conservative Group),0,0,1
Cllr Steven Dixon (Conservative Group),0,0,5
Cllr Amanda Dodwell (Conservative Group),0,0,16
Cllr Paul Duckett (Conservative Group),11,8,0
Cllr Yvonne Farrell (Liberal Democrat Group),0,0,3
Cllr Ken Ferguson (Conservative Group),0,0,0
Cllr Frank Firth (Conservative Group),1,1,10
Cllr Simon Ford (Independent Group),0,0,1
Cllr Mark Foster (Conservative Group),18,18,0
Cllr Eugene Ghent (Conservative Group),0,0,1
Cllr Charles Gomm (Conservative Group),0,0,1
Cllr Susan Goodchild (Liberal Democrat Group),0,0,12
Cllr Alison Graham (Independent),0,0,0
Cllr Patrick Hamill (Independent Group),0,0,0
Cllr Rebecca Hares (Independent Group),0,0,4
Cllr Nicola Harris (Independent Group),0,0,0
Cllr Victoria Harvey (Independent),0,0,8
Cllr Carole Hegley (Conservative Group),0,0,1
Cllr James Jamieson (Conservative Group),0,0,2
Cllr Mark Liddiard (Conservative Group),7,7,0
Cllr Gareth Mackey (Independent Group),0,0,1
Cllr Ken Matthews (Conservative Group),0,0,0
Cllr Caroline Maudlin (Conservative Group),0,0,2
Cllr David McVicar (Conservative Group),0,0,0
Cllr Robert Morris (Conservative Group),0,0,0
Cllr Gordon Perham (Conservative Group),9,4,1
Cllr Edward Perry (Conservative Group),0,0,0
Cllr Antonia Ryan (Labour),18,17,0
Cllr Gladys Sanders (Conservative Group),10,9,1
Cllr Brian Saunders (Conservative Group),10,6,0
Cllr David Shelvey (Conservative Group),7,7,2
Cllr Ian Shingler (Independent Group),0,0,0
Cllr Mark Smith (Independent Group),18,16,0
Cllr Peter Snelling (Liberal Democrat Group),0,0,3
Cllr Philip Spicer (Conservative Group),0,0,2
Cllr Brian Spurr (Conservative Group),0,0,4
Cllr Tracey Stock (Conservative Group),0,0,15
Cllr Johnson Tamara (Conservative Group),18,15,0
Cllr Mark Versallion (Conservative Group),18,16,0
Cllr Ewan Wallace (Conservative Group),8,5,0
Cllr Mary Walsh (Independent Group),0,0,2
Cllr Steven Watkins (Independent Group),0,0,2
Cllr Richard Wenham (Conservative Group),0,0,3
Cllr Hayley Whitaker (Independent Group),0,0,7
Cllr Tracey Wye (Independent Group),0,0,0
Cllr Nigel Young (Conservative Group),0,0,2
Cllr Adam Zerny (Independent Group),0,0,5
Ms Kate Minor (Parent Governor Representative),1,1,0
Ms Vicky Hopkinson (Parent Governor Representative),1,0,0
Ms Jessica  Andrews (Parent Governor Representative),1,0,0
Mr David Morton (CoE Diocesan Representative),12,4,0
Ms Debbie Main (Catholic Church Diocesan Representative= ),12,2,0
Ms  Kathy Keeley (Parent Governor Representative),10,4,0
Ms Lorraine King (Parent Governor Representative),11,7,0
Mr  Richard Sherry (Parent Governor Representative),1,1,3
