Councillor,Expected,Present as Expected,In Attendance
Cllr Silvia Collins (Independent),13,10,3
Cllr John Baker (Independent Group),22,21,0
Cllr Raymond Berry (Conservative Group),22,20,0
Cllr Michael Blair (Conservative Group),0,0,2
Cllr Ian Bond (Conservative Group),0,0,1
Cllr David Bowater (Conservative Group),0,0,13
Cllr Anthony Brown (Conservative Group),0,0,1
Cllr Neil Bunyan (Conservative Group),13,11,1
Cllr John Chatterley (Conservative Group),0,0,5
Cllr Sue Clark (Conservative Group),9,7,1
Cllr Kevin Collins (Conservative Group),0,0,10
Cllr Philip Crawley (Conservative Group),0,0,1
Cllr Ian Dalgarno (Conservative Group),0,0,1
Cllr Steven Dixon (Conservative Group),22,17,0
Cllr Amanda Dodwell (Conservative Group),18,16,0
Cllr Paul Duckett (Conservative Group),0,0,0
Cllr Yvonne Farrell (Liberal Democrat Group),0,0,3
Cllr Ken Ferguson (Conservative Group),0,0,2
Cllr Frank Firth (Conservative Group),4,4,6
Cllr Simon Ford (Independent Group),3,2,1
Cllr Mark Foster (Conservative Group),0,0,1
Cllr Eugene Ghent (Conservative Group),13,12,2
Cllr Charles Gomm (Conservative Group),0,0,9
Cllr Susan Goodchild (Liberal Democrat Group),0,0,4
Cllr Alison Graham (Independent),0,0,2
Cllr Patrick Hamill (Independent Group),0,0,1
Cllr Rebecca Hares (Independent Group),7,4,1
Cllr Nicola Harris (Independent Group),0,0,0
Cllr Victoria Harvey (Independent),0,0,4
Cllr Carole Hegley (Conservative Group),0,0,3
Cllr James Jamieson (Conservative Group),22,15,0
Cllr Mark Liddiard (Conservative Group),0,0,1
Cllr Gareth Mackey (Independent Group),0,0,2
Cllr Ken Matthews (Conservative Group),8,1,1
Cllr Caroline Maudlin (Conservative Group),0,0,0
Cllr David McVicar (Conservative Group),0,0,3
Cllr Robert Morris (Conservative Group),0,0,1
Cllr Gordon Perham (Conservative Group),18,18,0
Cllr Edward Perry (Conservative Group),0,0,1
Cllr Antonia Ryan (Labour),0,0,1
Cllr Gladys Sanders (Conservative Group),0,0,1
Cllr Brian Saunders (Conservative Group),0,0,7
Cllr David Shelvey (Conservative Group),0,0,3
Cllr Ian Shingler (Independent Group),0,0,2
Cllr Mark Smith (Independent Group),0,0,1
Cllr Peter Snelling (Liberal Democrat Group),22,17,0
Cllr Philip Spicer (Conservative Group),1,1,3
Cllr Brian Spurr (Conservative Group),0,0,1
Cllr Tracey Stock (Conservative Group),0,0,2
Cllr Johnson Tamara (Conservative Group),0,0,1
Cllr Mark Versallion (Conservative Group),0,0,5
Cllr Ewan Wallace (Conservative Group),0,0,1
Cllr Mary Walsh (Independent Group),0,0,2
Cllr Steven Watkins (Independent Group),4,1,2
Cllr Richard Wenham (Conservative Group),22,17,0
Cllr Hayley Whitaker (Independent Group),0,0,3
Cllr Tracey Wye (Independent Group),0,0,2
Cllr Nigel Young (Conservative Group),0,0,6
Cllr Adam Zerny (Independent Group),22,21,0
Ms Kate Minor (Parent Governor Representative),0,0,0
Ms Vicky Hopkinson (Parent Governor Representative),0,0,0
Ms Jessica  Andrews (Parent Governor Representative),0,0,0
Mr David Morton (CoE Diocesan Representative),0,0,0
Ms Debbie Main (Catholic Church Diocesan Representative= ),0,0,0
Ms  Kathy Keeley (Parent Governor Representative),0,0,0
Ms Lorraine King (Parent Governor Representative),0,0,0
Mr  Richard Sherry (Parent Governor Representative),0,0,0
