Councillor,Expected,Present as Expected,In Attendance
Cllr Silvia Collins (Independent),0,0,2
Cllr John Baker (Independent Group),0,0,0
Cllr Raymond Berry (Conservative Group),0,0,2
Cllr Michael Blair (Conservative Group),0,0,0
Cllr Ian Bond (Conservative Group),0,0,0
Cllr David Bowater (Conservative Group),20,16,2
Cllr Anthony Brown (Conservative Group),0,0,0
Cllr Neil Bunyan (Conservative Group),0,0,4
Cllr John Chatterley (Conservative Group),0,0,7
Cllr Sue Clark (Conservative Group),0,0,0
Cllr Kevin Collins (Conservative Group),0,0,1
Cllr Philip Crawley (Conservative Group),20,16,2
Cllr Ian Dalgarno (Conservative Group),0,0,0
Cllr Steven Dixon (Conservative Group),0,0,1
Cllr Amanda Dodwell (Conservative Group),0,0,1
Cllr Paul Duckett (Conservative Group),20,16,2
Cllr Yvonne Farrell (Liberal Democrat Group),0,0,7
Cllr Ken Ferguson (Conservative Group),0,0,0
Cllr Frank Firth (Conservative Group),0,0,2
Cllr Simon Ford (Independent Group),0,0,0
Cllr Mark Foster (Conservative Group),0,0,1
Cllr Eugene Ghent (Conservative Group),0,0,17
Cllr Charles Gomm (Conservative Group),0,0,3
Cllr Susan Goodchild (Liberal Democrat Group),20,20,2
Cllr Alison Graham (Independent),0,0,0
Cllr Patrick Hamill (Independent Group),0,0,2
Cllr Rebecca Hares (Independent Group),0,0,3
Cllr Nicola Harris (Independent Group),0,0,0
Cllr Victoria Harvey (Independent),0,0,16
Cllr Carole Hegley (Conservative Group),0,0,19
Cllr James Jamieson (Conservative Group),0,0,2
Cllr Mark Liddiard (Conservative Group),0,0,0
Cllr Gareth Mackey (Independent Group),0,0,0
Cllr Ken Matthews (Conservative Group),0,0,0
Cllr Caroline Maudlin (Conservative Group),3,1,1
Cllr David McVicar (Conservative Group),0,0,0
Cllr Robert Morris (Conservative Group),0,0,0
Cllr Gordon Perham (Conservative Group),11,8,9
Cllr Edward Perry (Conservative Group),0,0,0
Cllr Antonia Ryan (Labour),0,0,0
Cllr Gladys Sanders (Conservative Group),10,8,2
Cllr Brian Saunders (Conservative Group),4,3,0
Cllr David Shelvey (Conservative Group),0,0,0
Cllr Ian Shingler (Independent Group),0,0,0
Cllr Mark Smith (Independent Group),20,20,1
Cllr Peter Snelling (Liberal Democrat Group),0,0,3
Cllr Philip Spicer (Conservative Group),0,0,2
Cllr Brian Spurr (Conservative Group),0,0,4
Cllr Tracey Stock (Conservative Group),0,0,19
Cllr Johnson Tamara (Conservative Group),7,3,0
Cllr Mark Versallion (Conservative Group),20,20,2
Cllr Ewan Wallace (Conservative Group),7,5,2
Cllr Mary Walsh (Independent Group),0,0,2
Cllr Steven Watkins (Independent Group),0,0,0
Cllr Richard Wenham (Conservative Group),0,0,2
Cllr Hayley Whitaker (Independent Group),20,15,2
Cllr Tracey Wye (Independent Group),0,0,1
Cllr Nigel Young (Conservative Group),0,0,1
Cllr Adam Zerny (Independent Group),0,0,2
Ms Kate Minor (Parent Governor Representative),0,0,0
Ms Vicky Hopkinson (Parent Governor Representative),0,0,0
Ms Jessica  Andrews (Parent Governor Representative),0,0,0
Mr David Morton (CoE Diocesan Representative),0,0,0
Ms Debbie Main (Catholic Church Diocesan Representative= ),0,0,0
Ms  Kathy Keeley (Parent Governor Representative),0,0,0
Ms Lorraine King (Parent Governor Representative),0,0,0
Mr  Richard Sherry (Parent Governor Representative),0,0,0
