Councillor,Expected,Present as Expected,In Attendance
Cllr Silvia Collins (Independent),0,0,5
Cllr John Baker (Independent Group),0,0,4
Cllr Raymond Berry (Conservative Group),0,0,5
Cllr Michael Blair (Conservative Group),0,0,2
Cllr Ian Bond (Conservative Group),0,0,20
Cllr David Bowater (Conservative Group),0,0,6
Cllr Anthony Brown (Conservative Group),0,0,4
Cllr Neil Bunyan (Conservative Group),0,0,5
Cllr John Chatterley (Conservative Group),0,0,0
Cllr Sue Clark (Conservative Group),0,0,2
Cllr Kevin Collins (Conservative Group),0,0,13
Cllr Philip Crawley (Conservative Group),0,0,0
Cllr Ian Dalgarno (Conservative Group),26,24,0
Cllr Steven Dixon (Conservative Group),0,0,3
Cllr Amanda Dodwell (Conservative Group),0,0,4
Cllr Paul Duckett (Conservative Group),0,0,2
Cllr Yvonne Farrell (Liberal Democrat Group),0,0,2
Cllr Ken Ferguson (Conservative Group),0,0,0
Cllr Frank Firth (Conservative Group),0,0,4
Cllr Simon Ford (Independent Group),0,0,3
Cllr Mark Foster (Conservative Group),0,0,2
Cllr Eugene Ghent (Conservative Group),0,0,2
Cllr Charles Gomm (Conservative Group),0,0,5
Cllr Susan Goodchild (Liberal Democrat Group),0,0,6
Cllr Alison Graham (Independent),0,0,2
Cllr Patrick Hamill (Independent Group),0,0,1
Cllr Rebecca Hares (Independent Group),0,0,2
Cllr Nicola Harris (Independent Group),0,0,0
Cllr Victoria Harvey (Independent),0,0,7
Cllr Carole Hegley (Conservative Group),0,0,2
Cllr James Jamieson (Conservative Group),0,0,1
Cllr Mark Liddiard (Conservative Group),0,0,2
Cllr Gareth Mackey (Independent Group),0,0,1
Cllr Ken Matthews (Conservative Group),0,0,3
Cllr Caroline Maudlin (Conservative Group),0,0,6
Cllr David McVicar (Conservative Group),0,0,1
Cllr Robert Morris (Conservative Group),0,0,0
Cllr Gordon Perham (Conservative Group),0,0,2
Cllr Edward Perry (Conservative Group),0,0,4
Cllr Antonia Ryan (Labour),0,0,0
Cllr Gladys Sanders (Conservative Group),0,0,3
Cllr Brian Saunders (Conservative Group),0,0,2
Cllr David Shelvey (Conservative Group),0,0,1
Cllr Ian Shingler (Independent Group),0,0,0
Cllr Mark Smith (Independent Group),0,0,4
Cllr Peter Snelling (Liberal Democrat Group),0,0,4
Cllr Philip Spicer (Conservative Group),0,0,4
Cllr Brian Spurr (Conservative Group),0,0,7
Cllr Tracey Stock (Conservative Group),0,0,7
Cllr Johnson Tamara (Conservative Group),0,0,5
Cllr Mark Versallion (Conservative Group),0,0,5
Cllr Ewan Wallace (Conservative Group),0,0,0
Cllr Mary Walsh (Independent Group),0,0,2
Cllr Steven Watkins (Independent Group),0,0,7
Cllr Richard Wenham (Conservative Group),0,0,2
Cllr Hayley Whitaker (Independent Group),0,0,5
Cllr Tracey Wye (Independent Group),0,0,5
Cllr Nigel Young (Conservative Group),0,0,5
Cllr Adam Zerny (Independent Group),0,0,1
Ms Kate Minor (Parent Governor Representative),0,0,0
Ms Vicky Hopkinson (Parent Governor Representative),0,0,0
Ms Jessica  Andrews (Parent Governor Representative),0,0,0
Mr David Morton (CoE Diocesan Representative),0,0,0
Ms Debbie Main (Catholic Church Diocesan Representative= ),0,0,0
Ms  Kathy Keeley (Parent Governor Representative),0,0,0
Ms Lorraine King (Parent Governor Representative),0,0,0
Mr  Richard Sherry (Parent Governor Representative),0,0,0
