,Councillor,Sum_Expected,Sum_Present_Expected,Sum_Attended
0,Cllr Silvia Collins (Independent),56,52,65
1,Cllr John Baker (Independent Group),64,57,47
2,Cllr Raymond Berry (Conservative Group),108,89,23
3,Cllr Michael Blair (Conservative Group),85,75,6
4,Cllr Ian Bond (Conservative Group),64,60,61
5,Cllr David Bowater (Conservative Group),92,70,80
6,Cllr Anthony Brown (Conservative Group),28,25,21
7,Cllr Neil Bunyan (Conservative Group),83,68,85
8,Cllr John Chatterley (Conservative Group),58,51,38
9,Cllr Sue Clark (Conservative Group),111,100,30
10,Cllr Kevin Collins (Conservative Group),113,109,49
11,Cllr Philip Crawley (Conservative Group),45,37,3
12,Cllr Ian Dalgarno (Conservative Group),100,86,38
13,Cllr Steven Dixon (Conservative Group),86,70,49
14,Cllr Amanda Dodwell (Conservative Group),65,55,49
15,Cllr Paul Duckett (Conservative Group),79,66,29
16,Cllr Yvonne Farrell (Liberal Democrat Group),45,39,36
17,Cllr Ken Ferguson (Conservative Group),33,32,7
18,Cllr Frank Firth (Conservative Group),100,85,48
19,Cllr Simon Ford (Independent Group),28,14,7
20,Cllr Mark Foster (Conservative Group),52,49,14
21,Cllr Eugene Ghent (Conservative Group),92,85,48
22,Cllr Charles Gomm (Conservative Group),71,58,51
23,Cllr Susan Goodchild (Liberal Democrat Group),61,61,86
24,Cllr Alison Graham (Independent),45,40,32
25,Cllr Patrick Hamill (Independent Group),62,50,12
26,Cllr Rebecca Hares (Independent Group),80,64,25
27,Cllr Nicola Harris (Independent Group),28,16,3
28,Cllr Victoria Harvey (Independent),67,65,85
29,Cllr Carole Hegley (Conservative Group),89,83,58
30,Cllr James Jamieson (Conservative Group),78,68,13
31,Cllr Mark Liddiard (Conservative Group),34,31,14
32,Cllr Gareth Mackey (Independent Group),61,48,18
33,Cllr Ken Matthews (Conservative Group),91,59,5
34,Cllr Caroline Maudlin (Conservative Group),75,63,33
35,Cllr David McVicar (Conservative Group),48,26,25
36,Cllr Robert Morris (Conservative Group),41,35,7
37,Cllr Gordon Perham (Conservative Group),72,59,21
38,Cllr Edward Perry (Conservative Group),62,42,22
39,Cllr Antonia Ryan (Labour),43,38,3
40,Cllr Gladys Sanders (Conservative Group),61,51,44
41,Cllr Brian Saunders (Conservative Group),75,60,33
42,Cllr David Shelvey (Conservative Group),68,58,28
43,Cllr Ian Shingler (Independent Group),38,32,5
44,Cllr Mark Smith (Independent Group),63,60,16
45,Cllr Peter Snelling (Liberal Democrat Group),69,58,47
46,Cllr Philip Spicer (Conservative Group),59,47,34
47,Cllr Brian Spurr (Conservative Group),51,20,33
48,Cllr Tracey Stock (Conservative Group),77,64,71
49,Cllr Johnson Tamara (Conservative Group),65,49,17
50,Cllr Mark Versallion (Conservative Group),63,58,71
51,Cllr Ewan Wallace (Conservative Group),40,33,12
52,Cllr Mary Walsh (Independent Group),69,48,30
53,Cllr Steven Watkins (Independent Group),29,22,38
54,Cllr Richard Wenham (Conservative Group),106,96,34
55,Cllr Hayley Whitaker (Independent Group),83,73,39
56,Cllr Tracey Wye (Independent Group),53,45,50
57,Cllr Nigel Young (Conservative Group),109,99,35
58,Cllr Adam Zerny (Independent Group),73,63,48
